"Data","nominal","curs","cdx"
"2016-01-01",1,"340.01","Доллар США"
"2016-01-02",1,"340.01","Доллар США"
"2016-01-03",1,"340.01","Доллар США"
"2016-01-04",1,"340.01","Доллар США"
"2016-01-05",1,"340.01","Доллар США"
"2016-01-06",1,"343.14","Доллар США"
"2016-01-07",1,"345.01","Доллар США"
"2016-01-08",1,"345.01","Доллар США"
"2016-01-09",1,"351.88","Доллар США"
"2016-01-10",1,"351.88","Доллар США"
"2016-01-11",1,"351.88","Доллар США"
"2016-01-12",1,"356.88","Доллар США"
"2016-01-13",1,"365.07","Доллар США"
"2016-01-14",1,"364.89","Доллар США"
"2016-01-15",1,"365.23","Доллар США"
"2016-01-16",1,"360.9","Доллар США"
"2016-01-17",1,"360.9","Доллар США"
"2016-01-18",1,"360.9","Доллар США"
"2016-01-19",1,"374.31","Доллар США"
"2016-01-20",1,"377.7","Доллар США"
"2016-01-21",1,"374.6","Доллар США"
"2016-01-22",1,"383.91","Доллар США"
"2016-01-23",1,"381.16","Доллар США"
"2016-01-24",1,"381.16","Доллар США"
"2016-01-25",1,"381.16","Доллар США"
"2016-01-26",1,"372.89","Доллар США"
"2016-01-27",1,"380.3","Доллар США"
"2016-01-28",1,"375.49","Доллар США"
"2016-01-29",1,"371.55","Доллар США"
"2016-01-30",1,"364.79","Доллар США"
"2016-01-31",1,"364.79","Доллар США"
"2016-02-01",1,"364.79","Доллар США"
"2016-02-02",1,"360.45","Доллар США"
"2016-02-03",1,"369.15","Доллар США"
"2016-02-04",1,"375.25","Доллар США"
"2016-02-05",1,"363.34","Доллар США"
"2016-02-06",1,"363.72","Доллар США"
"2016-02-07",1,"363.72","Доллар США"
"2016-02-08",1,"363.72","Доллар США"
"2016-02-09",1,"359.89","Доллар США"
"2016-02-10",1,"360.37","Доллар США"
"2016-02-11",1,"362.23","Доллар США"
"2016-02-12",1,"360.31","Доллар США"
"2016-02-13",1,"368.17","Доллар США"
"2016-02-14",1,"368.17","Доллар США"
"2016-02-15",1,"368.17","Доллар США"
"2016-02-16",1,"362.1","Доллар США"
"2016-02-17",1,"357.71","Доллар США"
"2016-02-18",1,"359.23","Доллар США"
"2016-02-19",1,"350.58","Доллар США"
"2016-02-20",1,"355.45","Доллар США"
"2016-02-21",1,"355.45","Доллар США"
"2016-02-22",1,"355.45","Доллар США"
"2016-02-23",1,"351.77","Доллар США"
"2016-02-24",1,"348.69","Доллар США"
"2016-02-25",1,"348.96","Доллар США"
"2016-02-26",1,"350.25","Доллар США"
"2016-02-27",1,"349.82","Доллар США"
"2016-02-28",1,"349.82","Доллар США"
"2016-02-29",1,"349.82","Доллар США"
"2016-03-01",1,"348.78","Доллар США"
"2016-03-02",1,"347.96","Доллар США"
"2016-03-03",1,"346.56","Доллар США"
"2016-03-04",1,"345.65","Доллар США"
"2016-03-05",1,"345.22","Доллар США"
"2016-03-06",1,"345.02","Доллар США"
"2016-03-07",1,"345.02","Доллар США"
"2016-03-08",1,"345.02","Доллар США"
"2016-03-09",1,"345.02","Доллар США"
"2016-03-10",1,"344.8","Доллар США"
"2016-03-11",1,"344.19","Доллар США"
"2016-03-12",1,"343.92","Доллар США"
"2016-03-13",1,"343.92","Доллар США"
"2016-03-14",1,"343.92","Доллар США"
"2016-03-15",1,"343.32","Доллар США"
"2016-03-16",1,"343.23","Доллар США"
"2016-03-17",1,"346.61","Доллар США"
"2016-03-18",1,"346.05","Доллар США"
"2016-03-19",1,"345.73","Доллар США"
"2016-03-20",1,"345.73","Доллар США"
"2016-03-21",1,"345.73","Доллар США"
"2016-03-22",1,"345.73","Доллар США"
"2016-03-23",1,"345.73","Доллар США"
"2016-03-24",1,"345.73","Доллар США"
"2016-03-25",1,"346.97","Доллар США"
"2016-03-26",1,"343.83","Доллар США"
"2016-03-27",1,"343.83","Доллар США"
"2016-03-28",1,"343.83","Доллар США"
"2016-03-29",1,"340.15","Доллар США"
"2016-03-30",1,"341.51","Доллар США"
"2016-03-31",1,"343.06","Доллар США"
